ID;date_obs;long;lat;estimated_coordinates;sex;age
Hy_001;19890212;NA;NA;yes;M;subadult
Hy_002;19890326;NA;NA;NA;F;adult
Hy_003;19921224;NA;NA;NA;NA;unknown
Hy_004;19930306;NA;NA;yes;M;unknown
Hy_005;19930308;34.90033;-2.634167;yes;M;subadult
Hy_006;19930314;NA;NA;NA;NA;unknown
Hy_007;19930402;NA;NA;NA;NA;unknown
Hy_008;19930626;NA;NA;yes;NA;adult
Hy_009;19930717;NA;NA;NA;NA;unknown
Hy_010;19930719;NA;NA;NA;NA;unknown
Hy_011;19930826;34.81;-2.387333;yes;NA;adult
Hy_012;19930927;NA;NA;NA;NA;unknown
Hy_013;19931018;34.77634;-2.708961;yes;F;adult
Hy_014;19940109; 34.90433;-2.6525;yes;F;adult
Hy_015;19940506;34.85433;-2.482333;yes;F;adult
Hy_016;19941031;34.8218;-2.4349;yes;F;adult
Hy_017;19950228;34.8833333;-2.596667;yes;M;adult
Hy_018;19950403;34.9975;-2.832167;yes;F;adult
Hy_019;19950415;34.84374;-2.33158;yes;NA;adult
Hy_020;19960310;34.87933;-2.5875;yes;F;adult
Hy_021;19971028;34.8484;-2.4391;yes;M;subadult
Hy_022;19980219;NA;NA;yes;NA;subadult
Hy_023;19980316;34.80967;-2.4405;yes;M;adult
Hy_024;19980615;34.93917;-2.711333;no;F;adult
Hy_025;20000214;34.84133;-2.413667;yes;M;subadult
Hy_026;20000331;NA;NA;yes;NA;subadult
Hy_027;20000430;34.9697;-2.77018;no;F;adult
Hy_028;20010218;35.07133;-2.870333;yes;M;adult
Hy_029;20010330;NA;NA;yes;F;adult
Hy_030;20010420;34.8549;-2.545;yes;F;adult
Hy_031;20010425;NA;NA;yes;F;adult
Hy_032;20020807;34.78876;-2.45377;no;M;subadult
Hy_033;20030224;NA;NA;yes;M;adult
Hy_034;20031029;34.80106;-2.42597;no;F;subadult
Hy_035;20040315;34.97099;-2.77472;yes;F;adult
Hy_036;20040530;34.82462;-2.36298;no;F;adult
Hy_037;20040825;34.77391;-2.40358;no;M;subadult
Hy_038;20041220;34.930194;-2.695046;yes;M;adult
Hy_039;20050318;34.80544;-2.40986;no;M;subadult
Hy_040;20050504;34.870379;-2.567223;yes;F;adult
Hy_041;20050528;35.03883;-2.85593;yes;F;adult
Hy_042;20060504;34.9928;-2.8188;yes;M;subadult
Hy_043;20060819;34.71553;-2.30656;no;F;adult
Hy_044;20060712;NA;NA;yes;M;adult
Hy_045;20060823;NA;NA;yes;F;adult
Hy_046;20110308;34.83746;-2.34597;no;F;cub
Hy_047;20110420;34.8107;-2.3997;yes;F;adult
Hy_048;20110917;34.8611;-2.4393;yes;F;subadult
Hy_049;20120219;NA;NA;yes;F;subadult
Hy_050;20120312;34.817;-2.4363;yes;M;subadult
Hy_051;20120404;34.97547;-2.5457;no;F;adult
Hy_052;20130212;34.89243;-2.61613;no;F;adult
Hy_053;20130426;34.82236;-2.47516;no;NA;cub
Hy_054;20130602;34.8201;-2.3828;no;NA;adult
Hy_055;20131209;34.82494;-2.36603;no;NA;subadult
Hy_056;20140122;34.92469;-2.6858;no;F;adult
Hy_057;20140124;34.70491;-2.50548;no;F;adult
Hy_058;20140417;34.98409;-2.80223;no;NA;adult
Hy_059;20150208;34.80485;-2.40979;no;M;adult
Hy_060;20150215;34.90774;-2.56523;no;F;adult
Hy_061;20150603;34.84782;-2.53079;no;F;adult
Hy_062;20150616;34.80604;-2.43349;no;M;adult
Hy_063;20150804;34.8328;-2.50231;no;M;subadult
Hy_064;20160301;34.81353;-2.52474;no;F;adult
Hy_065;20160520;34.75315;-2.21081;no;M;subadult
Hy_066;20160528;34.83763;-2.51072;no;F;adult
Hy_067;20160601;34.8197;-2.43873;no;F;adult
Hy_068;20160608;34.83759;-2.48671;no;M;subadult
Hy_069;20160617;34.83732;-2.27885;no;M;adult
Hy_070;20160624;34.94309;-2.71947;no;F;adult
Hy_071;20160708;34.8207;-2.4295;yes;F;subadult
Hy_072;20160718;34.8141;-2.5163;no;F;adult
Hy_073;20161216;34.80158;-2.42115;no;M;subadult
Hy_074;20170107;34.81228;-2.39559;no;M;adult
Hy_075;20170712;34.80781;-2.49827;no;F;adult
Hy_076;20171204;34.95284;-2.73558;no;M;adult
Hy_077;20180316;34.82483;-2.48639;no;F;adult
Hy_078;20180706;34.79251;-2.4108;no;F;adult
Hy_079;20180811;34.79845;-2.42176;no;NA;cub
Hy_080;20190124;34.85553;-2.54677;no;F;adult
Hy_081;20190412;34.87321;-2.45566;no;NA;cub
Hy_082;20190712;34.8133;-2.45135;no;M;cub
Hy_083;20191115;34.80916;-2.4939;no;M;adult
Hy_084;20200216;34.90396;-2.47075;no;F;adult
Hy_085;20200216;34.903961;-2.47075001;no;F;adult
Hy_086;20200711;34.86883;-2.45069;no;NA;cub
Hy_087;20211218;34.91243;-2.4777;no;F;adult
Hy_088;20211215;34.882288;-2.594284;no;NA;adult
Hy_089;20220202;34.751169;-2.503303;no;M;adult
Hy_090;20220205;34.973404;-2.781327;no;NA;adult
Hy_091;20220205;34.973404;-2.781327;no;NA;cub
Hy_092;20220308;34.830417;-2.498077;no;F;adult
Hy_093;20220315;34.837572;-2.510039;no;NA;adult
Hy_094;20220322;34.839466;-2.513798;no;NA;adult
Hy_095;20220404;34.901537;-2.636265;no;NA;adult
Hy_096;20220423;34.893468;-2.615399;no;F;adult
Hy_097;20220525;34.847499;-2.53005;no;NA;adult
Hy_098;20220629;34.976461;-2.78677;no;NA;adult
Hy_099;20220811;34.83877;-2.430065;no;M;cub
Hy_100;20220925;34.890595;-2.464001;no;F;subadult
Hy_101;20221217;34.906793;-2.650806;no;NA;adult
Hy_102;20221217;34.902079;-2.637268;no;NA;subadult
Hy_103;20230113;35.066415;-2.868089;no;NA;adult
Hy_104;20230118;34.977706;-2.789005;no;NA;adult
